id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms)
0,2/11/2014,2.5,14.866,3.4,0.172
1,3/11/2014,0,12.813,4.9,0.148
2,4/11/2014,0,9.893,1.7,0.115
3,5/11/2014,0,9.512,2.2,0.11
4,6/11/2014,2,8.474,1.8,0.098
5,7/11/2014,0,8.093,2.1,0.094
6,8/11/2014,0,6.978,2,0.081
7,9/11/2014,0,6.687,1.9,0.077
8,10/11/2014,0,5.839,2.1,0.068
9,11/11/2014,0,5.688,1.7,0.066
10,12/11/2014,0,5.672,1.7,0.066
11,13/11/2014,0,5.878,1.9,0.068
12,14/11/2014,0,5.511,1.9,0.064
13,15/11/2014,0,5.209,1.5,0.06
14,16/11/2014,0,4.649,1.7,0.054
15,17/11/2014,7,11.791,4.4,0.136
16,18/11/2014,0,6.445,2.8,0.075
17,19/11/2014,0,4.738,1.5,0.055
18,20/11/2014,0,4.31,1.4,0.05
19,21/11/2014,0,4.459,1.1,0.052
20,22/11/2014,0,3.997,1,0.046
21,23/11/2014,0,3.772,1.2,0.044
22,24/11/2014,0,3.537,1.1,0.041
23,25/11/2014,3.5,11.84,4.3,0.137
24,26/11/2014,2.5,17.075,12.1,0.198
25,27/11/2014,0,5.596,3.2,0.065
26,28/11/2014,0,4.471,1.4,0.052
27,29/11/2014,0,4.466,0.9,0.052
28,30/11/2014,0,4.111,0.9,0.048
29,1/12/2014,18.5,29.928,12.6,0.346
30,2/12/2014,3,44.895,41.4,0.52
31,3/12/2014,2,21.086,11.4,0.244
32,4/12/2014,0.5,7.418,2.2,0.086
33,5/12/2014,41,31.336,14,0.363
34,6/12/2014,1.5,94.592,38.8,1.095
35,7/12/2014,18,49.603,14.6,0.574
36,8/12/2014,3.5,68.552,37.6,0.793
37,9/12/2014,11.5,84.196,71.4,0.974
38,10/12/2014,0,34.532,19.3,0.4
39,11/12/2014,29,99.965,32.8,1.157
40,12/12/2014,8,67.612,34,0.783
41,13/12/2014,1.5,49.504,12.9,0.573
42,14/12/2014,0.5,22.779,5.7,0.264
43,15/12/2014,0,16.494,3.5,0.191
44,16/12/2014,0,12.184,2.7,0.141
45,17/12/2014,0.5,10.823,2.7,0.125
46,18/12/2014,0,12.497,2,0.145
47,19/12/2014,0,11.354,1.9,0.131
48,20/12/2014,0,10.533,1.6,0.122
49,21/12/2014,0,9.746,1.5,0.113
50,22/12/2014,0,9.094,1.3,0.105
51,23/12/2014,2,10.46,1.6,0.121
52,24/12/2014,12,25.111,8.3,0.291
53,25/12/2014,0,15.418,3.4,0.178
54,26/12/2014,26.5,42.288,11.7,0.489
55,27/12/2014,0.5,46.969,19.8,0.544
56,28/12/2014,0,17.261,2.7,0.2
57,29/12/2014,0,13.122,1.6,0.152
58,30/12/2014,0,11.631,1.2,0.135
59,31/12/2014,0,9.727,1.1,0.113
60,1/01/2015,0,8.896,1.1,0.103
61,2/01/2015,0,8.203,1.2,0.095
62,3/01/2015,2,17.257,4.3,0.2
63,4/01/2015,0,19.304,113.4,0.223
64,5/01/2015,8.5,243.025,69.8,2.813
65,6/01/2015,0.5,140.71,42.7,1.629
66,7/01/2015,0,28.455,5.5,0.329
67,8/01/2015,0,18.588,2.7,0.215
68,9/01/2015,0,19.424,3.6,0.225
69,10/01/2015,6.5,16.488,6.1,0.191
70,11/01/2015,5.5,53.986,23.1,0.625
71,12/01/2015,24,83.344,24.5,0.965
72,13/01/2015,1.5,64.365,20,0.745
73,14/01/2015,1,34.377,10,0.398
74,15/01/2015,2,41.047,10.4,0.475
75,16/01/2015,0,26.287,4.8,0.304
76,17/01/2015,0,21.043,3.3,0.244
77,18/01/2015,0,16.875,3.3,0.195
78,19/01/2015,0,14.517,2.9,0.168
79,20/01/2015,0,13.939,3.1,0.161
80,21/01/2015,0,14.846,4,0.172
81,22/01/2015,0,13.509,3.7,0.156
82,23/01/2015,0,12.364,2.9,0.143
83,24/01/2015,0,11.67,5.9,0.135
84,25/01/2015,9,17.517,15.8,0.203
85,26/01/2015,0.5,18.807,9.9,0.218
86,27/01/2015,1,11.151,5,0.129
87,28/01/2015,15.5,27.043,14,0.313
88,29/01/2015,3.5,42.237,20.5,0.489
89,30/01/2015,0,26.466,13.6,0.306
90,31/01/2015,0,16.432,11,0.19
91,1/02/2015,0,13.163,9.9,0.152
92,2/02/2015,0,11.53,8.9,0.133
93,3/02/2015,0,27.027,17.3,0.313
94,4/02/2015,0,13.829,8,0.16
95,5/02/2015,0,12.886,4.2,0.149
96,6/02/2015,0.5,11.316,3.2,0.131
97,7/02/2015,0,10.245,3,0.119
98,8/02/2015,0,10.022,2.8,0.116
99,9/02/2015,0,8.778,3.5,0.102
100,10/02/2015,0,8.4,2.7,0.097
101,11/02/2015,2,8.333,3.7,0.096
102,12/02/2015,0.5,10.961,18.5,0.127
103,13/02/2015,6.5,11.492,22.4,0.133
104,14/02/2015,1.5,44.458,22.6,0.515
105,15/02/2015,1,20.359,6.8,0.236
106,16/02/2015,0.5,19.228,4.4,0.223
107,17/02/2015,0,14.529,2.6,0.168
108,18/02/2015,0,12.154,2.4,0.141
109,19/02/2015,0,10.911,2.3,0.126
110,20/02/2015,0,10.171,2.2,0.118
111,21/02/2015,0,9.996,2.4,0.116
112,22/02/2015,2,11.44,3.8,0.132
113,23/02/2015,1,11.657,4.1,0.135
114,24/02/2015,0,11.394,3,0.132
115,25/02/2015,0,10.276,4.5,0.119
116,26/02/2015,1.5,9.658,5.8,0.112
117,27/02/2015,1,12.766,8.6,0.148
118,28/02/2015,0,13.998,12.4,0.162
119,1/03/2015,0,9.777,7.5,0.113
120,2/03/2015,20.5,54.625,41.8,0.632
121,3/03/2015,0,32.144,63.9,0.372
122,4/03/2015,0,14.078,7.6,0.163
123,5/03/2015,0,11.231,3.2,0.13
124,6/03/2015,0,9.581,3.1,0.111
125,7/03/2015,0,8.782,2.9,0.102
126,8/03/2015,0,8.519,3,0.099
127,9/03/2015,0,8.184,3.1,0.095
128,10/03/2015,0,7.997,3.3,0.093
129,11/03/2015,0,7.711,2.6,0.089
130,12/03/2015,1,8.372,2.7,0.097
131,13/03/2015,2,8.355,2.6,0.097
132,14/03/2015,2,7.665,2.4,0.089
133,15/03/2015,0,8.605,2.7,0.1
134,16/03/2015,0,7.679,2.6,0.089
135,17/03/2015,0,7.543,2.5,0.087
136,18/03/2015,0,6.487,2.4,0.075
137,19/03/2015,0,3.854,2.4,0.045
138,20/03/2015,0,3.393,2.6,0.039
139,21/03/2015,0,3.487,3,0.04
140,22/03/2015,2,3.338,2.3,0.039
141,23/03/2015,0.5,3.925,2.5,0.045
142,24/03/2015,0,3.587,2.3,0.042
143,25/03/2015,16.5,38.594,22.9,0.447
144,26/03/2015,0,14.621,9.5,0.169
145,27/03/2015,0,5.201,3.7,0.06
146,28/03/2015,0,3.861,2.2,0.045
147,29/03/2015,0,3.382,1.9,0.039
148,30/03/2015,0,3.31,2,0.038
149,31/03/2015,0,3.118,2.1,0.036
150,1/04/2015,0,4.151,2,0.048
151,2/04/2015,0,6.908,2.2,0.08
152,3/04/2015,1,6.483,2.1,0.075
153,4/04/2015,9,26.364,11.6,0.305
154,5/04/2015,17,58.109,18.6,0.673
155,6/04/2015,0.5,22.465,8.6,0.26
156,7/04/2015,4.5,14.869,3.5,0.172
157,8/04/2015,3.5,15.354,3.3,0.178
158,9/04/2015,0.5,11.921,2.8,0.138
159,10/04/2015,0,10.28,2.5,0.119
160,11/04/2015,0.5,9.386,2.3,0.109
161,12/04/2015,0.5,9.246,2.2,0.107
162,13/04/2015,0,8.994,2.5,0.104
163,14/04/2015,0,8.84,2.9,0.102
164,15/04/2015,0,8.243,2.5,0.095
165,16/04/2015,4.5,7.829,2.5,0.091
166,17/04/2015,0,17.618,7.9,0.204
167,18/04/2015,14.5,37.789,20.2,0.437
168,19/04/2015,10.5,13.608,5.8,0.158
169,20/04/2015,2,43.29,29.2,0.501
170,21/04/2015,57,656.33,89.5,7.596
171,22/04/2015,23.5,1962.263,72.2,22.711
172,23/04/2015,23.5,1725.811,39.7,19.975
173,24/04/2015,5,1450.859,33.2,16.792
174,25/04/2015,0,297.09,15.1,3.439
175,16/05/2015,0,32.849,3.4,0.38
176,17/05/2015,0,29.643,3.1,0.343
177,18/05/2015,0,27.815,2.6,0.322
178,19/05/2015,0,27.278,2.7,0.316
179,20/05/2015,8.5,37.497,7.7,0.434
180,21/05/2015,1.5,44.459,13.5,0.515
181,22/05/2015,0,36.745,7,0.425
182,23/05/2015,2,32.089,3.6,0.371
183,24/05/2015,0,32.147,4.3,0.372
184,25/05/2015,0,25.571,3,0.296
185,26/05/2015,0,26.271,2.7,0.304
186,27/05/2015,0,24.618,2.7,0.285
187,28/05/2015,0,22.684,2.7,0.263
188,29/05/2015,0,17.665,2.3,0.204
189,30/05/2015,1.5,17.106,2.4,0.198
190,31/05/2015,0,15.366,2.4,0.178
191,1/06/2015,0,14.548,2.1,0.168
192,2/06/2015,0,14.076,2.3,0.163
193,3/06/2015,0,13.325,2.2,0.154
194,4/06/2015,0,13.046,2.3,0.151
195,5/06/2015,0,12.96,2.4,0.15
196,6/06/2015,0,13.489,2.4,0.156
197,7/06/2015,0,17.405,2.7,0.201
198,8/06/2015,0,16.935,2.4,0.196
199,9/06/2015,0,16.639,2.2,0.193
200,10/06/2015,0.5,16.226,2.4,0.188
201,11/06/2015,0,16.11,2.2,0.186
202,12/06/2015,0,16.013,2.6,0.185
203,13/06/2015,0,15.638,2,0.181
204,14/06/2015,0,15.575,1.9,0.18
205,15/06/2015,0,15.159,1.8,0.175
206,16/06/2015,0,15.093,1.7,0.175
207,17/06/2015,11,33.378,16,0.386
208,18/06/2015,7,34.609,12,0.401
209,19/06/2015,4.5,26.18,10.4,0.303
210,20/06/2015,1,37.293,11.2,0.432
211,21/06/2015,0,25.013,3.7,0.29
212,22/06/2015,0,21.079,2.1,0.244
213,23/06/2015,0,19.239,1.9,0.223
214,24/06/2015,0,18.824,1.6,0.218
215,25/06/2015,0,17.935,1.6,0.208
216,26/06/2015,0.5,18.092,1.8,0.209
217,27/06/2015,0,17.63,22.1,0.204
218,28/06/2015,0,18.791,2.4,0.217
219,29/06/2015,0,15.45,3.3,0.179
220,30/06/2015,0.5,15.019,1.2,0.174
221,1/07/2015,0,15.05,1.5,0.174
222,2/07/2015,0,15.519,1.6,0.18
223,3/07/2015,0,14.847,1.3,0.172
224,4/07/2015,0,14.851,2,0.172
225,5/07/2015,0,14.377,1.9,0.166
226,6/07/2015,0,14.531,1.6,0.168
227,7/07/2015,0,14.146,1.1,0.164
228,8/07/2015,0,14.062,1.5,0.163
229,9/07/2015,0,13.301,1.5,0.154
230,10/07/2015,0,13.106,1,0.152
231,11/07/2015,7.5,20.945,6.9,0.242
232,12/07/2015,11,24.535,11.1,0.284
233,13/07/2015,3,58.533,50.2,0.677
234,14/07/2015,4,34.859,11,0.403
235,15/07/2015,0.5,25.763,4.8,0.298
236,16/07/2015,0,19.99,4,0.231
237,17/07/2015,6,26.198,5.2,0.303
238,18/07/2015,5.5,52.361,18.5,0.606
239,19/07/2015,0.5,41.714,11.5,0.483
240,20/07/2015,0,29.509,4.4,0.342
241,21/07/2015,0,28.149,3.7,0.326
242,22/07/2015,0,27.89,3.9,0.323
243,23/07/2015,0.5,25.402,4.6,0.294
244,24/07/2015,2.5,22.886,4.4,0.265
245,25/07/2015,0,20.127,3.5,0.233
246,26/07/2015,0,21.328,3.2,0.247
247,27/07/2015,0,19.296,3.4,0.223
248,28/07/2015,0,18.939,2.7,0.219
249,29/07/2015,0,17.167,2.5,0.199
250,30/07/2015,0,16.926,2.5,0.196
251,31/07/2015,0,16.712,2.4,0.193
252,1/08/2015,0,16.642,2.8,0.193
253,2/08/2015,0,15.729,2.6,0.182
254,3/08/2015,2,15.267,2.7,0.177
255,4/08/2015,0,16.992,3.4,0.197
256,5/08/2015,0,15.252,2.7,0.177
257,6/08/2015,1.5,14.635,2.8,0.169
258,7/08/2015,0,16.305,3.2,0.189
259,8/08/2015,0,17.096,3.3,0.198
260,9/08/2015,0,14.019,4.2,0.162
261,10/08/2015,0,13.401,3,0.155
262,11/08/2015,0,13.264,2.8,0.154
263,12/08/2015,0,12.863,2.9,0.149
264,13/08/2015,3.5,15.755,4.1,0.182
265,14/08/2015,0,15.739,5.3,0.182
266,15/08/2015,0,10.217,4.6,0.118
267,16/08/2015,0,9.513,3.1,0.11
268,17/08/2015,0,8.274,2.9,0.096
269,18/08/2015,0,8.258,2.7,0.096
270,19/08/2015,0,7.969,2.8,0.092
271,20/08/2015,0,7.565,2.6,0.088
272,21/08/2015,0,11.296,2.9,0.131
273,22/08/2015,0,11.321,2.7,0.131
274,23/08/2015,0,11.222,2.7,0.13
275,24/08/2015,9.5,21.709,10.6,0.251
276,25/08/2015,8,32.958,12.8,0.381
277,26/08/2015,4,43.941,34.6,0.509
278,27/08/2015,2,30.167,8.7,0.349
279,28/08/2015,0,24.344,6.6,0.282
280,29/08/2015,0,20.038,4.9,0.232
281,30/08/2015,0,15.801,3.9,0.183
282,31/08/2015,0,14.429,4,0.167
283,1/09/2015,0,14.972,3.8,0.173
284,2/09/2015,0.5,14.35,3.6,0.166
285,3/09/2015,2.5,13.344,3.4,0.154
286,4/09/2015,2,23.011,10.5,0.266
287,5/09/2015,0,15.412,3.9,0.178
288,6/09/2015,0,13.977,3.6,0.162
289,7/09/2015,0,13.021,3.5,0.151
290,8/09/2015,0,13.028,3.1,0.151
291,9/09/2015,0,12.58,4.5,0.146
292,10/09/2015,0,12.783,4.3,0.148
293,11/09/2015,0,12.375,4.3,0.143
294,12/09/2015,0,10.668,4.3,0.123
295,13/09/2015,0,10.186,5.5,0.118
296,14/09/2015,0,9.961,6.7,0.115
297,15/09/2015,0,10.17,7,0.118
298,16/09/2015,0,10.498,6.6,0.122
299,17/09/2015,0,10.172,5.8,0.118
300,18/09/2015,0,10.091,5.6,0.117
301,19/09/2015,0,10.1,6,0.117
302,20/09/2015,3,11.995,6.4,0.139
303,21/09/2015,0,13.301,5.6,0.154
304,22/09/2015,0,11.392,4.9,0.132
305,23/09/2015,1.5,11.269,4.2,0.13
306,24/09/2015,0,10.024,4.1,0.116
307,25/09/2015,0,9.568,3.9,0.111
308,26/09/2015,1.5,10.047,3.7,0.116
309,27/09/2015,0.5,13.928,5.4,0.161
310,28/09/2015,0,10.729,4.1,0.124
311,29/09/2015,0,9.96,3.2,0.115
312,30/09/2015,0,9.578,3.3,0.111
313,1/10/2015,0,9.644,3.4,0.112
314,2/10/2015,0,9.339,3.3,0.108
315,3/10/2015,0,8.817,3.8,0.102
316,4/10/2015,0,8.458,3.4,0.098
317,5/10/2015,0,8.115,3.5,0.094
318,6/10/2015,0,7.9,3.4,0.091
319,7/10/2015,0,7.894,3.6,0.091
320,8/10/2015,0,7.889,3.2,0.091
321,9/10/2015,0,8.012,3.2,0.093
322,10/10/2015,0,8.221,4,0.095
323,11/10/2015,4,12.414,7.7,0.144
324,12/10/2015,2.5,9.866,6.6,0.114
325,13/10/2015,0,12.853,7.8,0.149
326,14/10/2015,0,7.706,5.2,0.089
327,15/10/2015,0,8.42,5.1,0.097
328,16/10/2015,0,7.897,4,0.091
329,17/10/2015,0,7.418,4.1,0.086
330,18/10/2015,0,6.922,5.2,0.08
331,19/10/2015,0,6.511,4.7,0.075
332,20/10/2015,21.5,13.594,66.2,0.157
333,21/10/2015,1.5,12.881,21.7,0.149
334,22/10/2015,3,15.174,8.9,0.176
335,23/10/2015,5,24.983,47.4,0.289
336,24/10/2015,0,14.065,17.9,0.163
337,25/10/2015,0,8.514,6.6,0.099
338,26/10/2015,0,7.726,5.4,0.089
339,27/10/2015,6.5,8.766,7.5,0.101
340,28/10/2015,1,15.148,12.9,0.175
341,29/10/2015,0,7.903,6.9,0.091
342,30/10/2015,0,6.985,5.1,0.081
343,31/10/2015,0,6.6,4.9,0.076
344,1/11/2015,4.5,6.594,4.7,0.076
345,2/11/2015,8.5,10.36,9.9,0.12
346,3/11/2015,2.5,51.158,59.4,0.592
347,4/11/2015,0.5,11.318,24.6,0.131
348,5/11/2015,8,23.5,17.1,0.272
349,6/11/2015,18.5,36.779,20.1,0.426
350,7/11/2015,3,71.385,34.7,0.826
351,8/11/2015,0,25.407,6.7,0.294
352,9/11/2015,0,15.184,4.9,0.176
353,10/11/2015,0,11.891,4.1,0.138
354,11/11/2015,0,10.555,4.1,0.122
355,12/11/2015,0,9.187,2.7,0.106
356,13/11/2015,3,11.031,4.5,0.128
357,14/11/2015,7,20.662,12.6,0.239
358,15/11/2015,1.5,19.939,13.3,0.231
359,16/11/2015,2.5,18.377,4.7,0.213
360,17/11/2015,0.5,13.978,2.9,0.162
361,18/11/2015,0,10.949,1.8,0.127
362,19/11/2015,0,8.876,2.1,0.103
363,20/11/2015,0,7.597,2.9,0.088
364,21/11/2015,0,7.193,3.6,0.083
365,22/11/2015,0,6.492,3.4,0.075
366,23/11/2015,0,6.435,3.6,0.074
367,24/11/2015,0,6.88,3.7,0.08
368,25/11/2015,0,6.221,3.1,0.072
