id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms)
0,16/02/2014,21.231,7.1,0.246
1,17/02/2014,22.646,4.4,0.262
2,18/02/2014,20.543,3.7,0.238
3,19/02/2014,19.237,3,0.223
4,20/02/2014,25.141,4.9,0.291
5,21/02/2014,57.954,12.9,0.671
6,22/02/2014,29.991,6.6,0.347
7,23/02/2014,24.083,3.5,0.279
8,24/02/2014,21.998,2.8,0.255
9,25/02/2014,21.143,2.5,0.245
10,26/02/2014,19.659,2.3,0.228
11,27/02/2014,19.694,2.2,0.228
12,28/02/2014,19.873,2.3,0.23
13,1/03/2014,20.538,2.5,0.238
14,2/03/2014,25.054,4.2,0.29
15,3/03/2014,32.891,4.3,0.381
16,4/03/2014,28.284,3.6,0.327
17,5/03/2014,25.668,2.9,0.297
18,6/03/2014,25.568,3.2,0.296
19,7/03/2014,28.002,2.7,0.324
20,8/03/2014,78.111,23.3,0.904
21,9/03/2014,104.602,111.4,1.211
22,10/03/2014,41.317,12.6,0.478
23,11/03/2014,32.037,5.1,0.371
24,12/03/2014,28.463,3.7,0.329
25,13/03/2014,26.236,3.2,0.304
26,14/03/2014,26.863,4.3,0.311
27,15/03/2014,38.073,5.3,0.441
28,16/03/2014,159.926,18.1,1.851
29,17/03/2014,103.589,9.1,1.199
30,18/03/2014,83.39,6,0.965
31,19/03/2014,57.797,4.6,0.669
32,20/03/2014,47.989,3.9,0.555
33,21/03/2014,41.363,3.4,0.479
34,22/03/2014,41.057,3.3,0.475
35,23/03/2014,41.772,3.4,0.483
36,24/03/2014,41.812,3.4,0.484
37,25/03/2014,40.204,3.7,0.465
38,26/03/2014,54.411,3.6,0.63
39,27/03/2014,53.183,4.1,0.616
40,28/03/2014,238.011,16.6,2.755
41,29/03/2014,236.153,11.8,2.733
42,30/03/2014,281.121,10.3,3.254
43,31/03/2014,156.477,5.1,1.811
44,1/04/2014,107.856,4,1.248
45,2/04/2014,85.923,3.5,0.994
46,3/04/2014,75.558,3.3,0.875
47,4/04/2014,66.533,3.1,0.77
48,5/04/2014,271.678,24.8,3.144
49,6/04/2014,478.021,13.6,5.533
50,7/04/2014,225.824,5.8,2.614
51,8/04/2014,146.409,3.7,1.695
52,9/04/2014,111.291,3.2,1.288
53,10/04/2014,97.202,3,1.125
54,11/04/2014,87.228,3.2,1.01
55,12/04/2014,107.052,3.7,1.239
56,13/04/2014,122.901,5.7,1.422
57,14/04/2014,102.558,4.2,1.187
58,15/04/2014,81.386,3,0.942
59,16/04/2014,71.709,2.7,0.83
60,17/04/2014,59.027,2.7,0.683
61,18/04/2014,58.938,2.9,0.682
62,19/04/2014,62.243,3.5,0.72
63,20/04/2014,62.119,3,0.719
64,21/04/2014,58.195,2.8,0.674
65,22/04/2014,54.606,2.9,0.632
66,23/04/2014,54.154,2.7,0.627
67,24/04/2014,53.196,2.7,0.616
68,25/04/2014,55.306,2.7,0.64
69,26/04/2014,50.406,2.8,0.583
70,27/04/2014,63.517,3.6,0.735
71,28/04/2014,42.312,2.7,0.49
72,29/04/2014,52.908,2.4,0.612
73,30/04/2014,54.598,2.5,0.632
74,1/05/2014,48.028,2.1,0.556
75,2/05/2014,46.412,2,0.537
76,3/05/2014,47.068,2,0.545
77,4/05/2014,51.221,2.2,0.593
78,5/05/2014,42.619,2.2,0.493
79,6/05/2014,33.981,1.9,0.393
80,7/05/2014,42.295,1.9,0.49
81,8/05/2014,43.838,2,0.507
82,9/05/2014,48.766,2.1,0.564
83,10/05/2014,52.577,2,0.609
84,11/05/2014,53.278,2,0.617
85,12/05/2014,53.149,2.3,0.615
86,13/05/2014,51.427,2,0.595
87,14/05/2014,48.635,1.9,0.563
88,15/05/2014,43.683,2,0.506
89,16/05/2014,42.702,1.9,0.494
