id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms)
0,14/02/2014 15:00,15.765,2.9,0.182
1,14/02/2014 16:00,15.836,2.5,0.183
2,14/02/2014 17:00,16.001,2.4,0.185
3,14/02/2014 18:00,16.214,2.5,0.188
4,14/02/2014 19:00,16.426,3.2,0.19
5,14/02/2014 20:00,16.615,5,0.192
6,14/02/2014 21:00,16.946,5.9,0.196
7,14/02/2014 22:00,16.969,3.6,0.196
8,14/02/2014 23:00,17.087,4.1,0.198
9,15/02/2014 0:00,17.276,3.7,0.2
10,15/02/2014 1:00,17.418,3.9,0.202
11,15/02/2014 2:00,17.561,4.1,0.203
12,15/02/2014 3:00,17.738,4.4,0.205
13,15/02/2014 4:00,17.865,4,0.207
14,15/02/2014 5:00,18.246,4.7,0.211
15,15/02/2014 6:00,18.348,4.3,0.212
16,15/02/2014 7:00,18.373,4,0.213
17,15/02/2014 8:00,19.364,3.9,0.224
18,15/02/2014 9:00,21.474,4,0.249
19,15/02/2014 10:00,22.007,13.4,0.255
20,15/02/2014 11:00,22.389,31.6,0.259
21,15/02/2014 12:00,22.643,16.7,0.262
22,15/02/2014 13:00,22.846,8.3,0.264
23,15/02/2014 14:00,23.024,5.7,0.266
24,15/02/2014 15:00,22.999,8,0.266
25,15/02/2014 16:00,22.999,5.4,0.266
26,15/02/2014 17:00,23.1,5.1,0.267
27,15/02/2014 18:00,23.227,4.6,0.269
28,15/02/2014 19:00,23.532,6.8,0.272
29,15/02/2014 20:00,23.609,7,0.273
30,15/02/2014 21:00,23.227,5.8,0.269
31,15/02/2014 22:00,22.821,4.9,0.264
32,15/02/2014 23:00,22.516,4.7,0.261
33,16/02/2014 0:00,22.211,4.5,0.257
34,16/02/2014 1:00,22.211,4.3,0.257
35,16/02/2014 2:00,22.185,4.3,0.257
36,16/02/2014 3:00,21.83,4.4,0.253
37,16/02/2014 4:00,21.703,4.2,0.251
38,16/02/2014 5:00,21.398,5,0.248
39,16/02/2014 6:00,21.347,5.6,0.247
40,16/02/2014 7:00,21.652,4.9,0.251
41,16/02/2014 8:00,22.617,3.9,0.262
42,16/02/2014 9:00,23.227,3.8,0.269
43,16/02/2014 10:00,23.456,3.9,0.271
44,16/02/2014 11:00,23.812,3.8,0.276
45,16/02/2014 12:00,23.837,3.6,0.276
46,16/02/2014 13:00,23.837,3.6,0.276
47,16/02/2014 14:00,23.634,4.1,0.274
48,16/02/2014 15:00,23.431,4.7,0.271
49,16/02/2014 16:00,23.405,4.8,0.271
50,16/02/2014 17:00,23.049,5,0.267
51,16/02/2014 18:00,22.719,5,0.263
52,16/02/2014 19:00,22.617,4.2,0.262
53,16/02/2014 20:00,22.617,4.4,0.262
54,16/02/2014 21:00,22.617,4.5,0.262
55,16/02/2014 22:00,22.414,5.2,0.259
56,16/02/2014 23:00,22.109,4.7,0.256
57,17/02/2014 0:00,21.779,4.4,0.252
58,17/02/2014 1:00,21.423,4.3,0.248
59,17/02/2014 2:00,21.372,4.5,0.247
