Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms)
2016-07-01 00:00:00,111.251,3.2,1.288
2016-07-01 01:00:00,96.172,3.2,1.113
2016-07-01 02:00:00,93.459,3.1,1.082
2016-07-01 03:00:00,107.879,3.3,1.249
2016-07-01 04:00:00,113.889,3.3,1.318
2016-07-01 05:00:00,112.053,3.2,1.297
2016-07-01 06:00:00,111.547,3.2,1.291
2016-07-01 07:00:00,99.939,3.1,1.157
2016-07-01 08:00:00,85.964,3.0,0.995
2016-07-01 09:00:00,77.113,3.0,0.893
2016-07-01 10:00:00,71.964,2.8,0.833
2016-07-01 11:00:00,64.909,2.6,0.751
2016-07-01 12:00:00,58.667,2.7,0.679
2016-07-01 13:00:00,55.498,2.5,0.642
2016-07-01 14:00:00,55.794,2.5,0.646
2016-07-01 15:00:00,60.081,2.5,0.695
2016-07-01 16:00:00,77.905,2.6,0.902
2016-07-01 17:00:00,83.413,2.5,0.965
2016-07-01 18:00:00,76.972,2.5,0.891
2016-07-01 19:00:00,68.973,2.5,0.798
2016-07-01 20:00:00,63.48,2.7,0.735
2016-07-01 21:00:00,60.78,3.5,0.703
2016-07-01 22:00:00,60.357,3.1,0.699
2016-07-01 23:00:00,60.78,2.9,0.703
2016-07-02 00:00:00,61.16,2.8,0.708
2016-07-02 01:00:00,61.371,2.8,0.71
2016-07-02 02:00:00,61.371,2.9,0.71
2016-07-02 03:00:00,62.113,2.9,0.719
2016-07-02 04:00:00,63.677,2.8,0.737
2016-07-02 05:00:00,65.197,2.8,0.755
2016-07-02 06:00:00,66.423,2.8,0.769
2016-07-02 07:00:00,67.943,2.8,0.786
2016-07-02 08:00:00,68.924,2.8,0.798
2016-07-02 09:00:00,70.199,2.8,0.812
2016-07-02 10:00:00,71.376,3.1,0.826
2016-07-02 11:00:00,72.209,4.5,0.836
2016-07-02 12:00:00,73.092,3.1,0.846
2016-07-02 13:00:00,74.024,3.4,0.857
2016-07-02 14:00:00,75.446,2.9,0.873
2016-07-02 15:00:00,76.475,3.0,0.885
2016-07-02 16:00:00,76.623,3.5,0.887
2016-07-02 17:00:00,76.672,3.7,0.887
2016-07-02 18:00:00,77.162,4.3,0.893
2016-07-02 19:00:00,77.652,5.1,0.899
2016-07-02 20:00:00,77.505,5.1,0.897
2016-07-02 21:00:00,77.799,5.3,0.9
2016-07-02 22:00:00,77.947,5.5,0.902
2016-07-02 23:00:00,78.535,5.7,0.909
2016-07-03 00:00:00,78.29,5.8,0.906
2016-07-03 01:00:00,77.554,5.8,0.898
2016-07-03 02:00:00,77.407,5.6,0.896
2016-07-03 03:00:00,77.652,5.9,0.899
2016-07-03 04:00:00,77.75,6.0,0.9
2016-07-03 05:00:00,77.26,5.9,0.894
2016-07-03 06:00:00,77.015,6.0,0.891
2016-07-03 07:00:00,77.064,6.0,0.892
2016-07-03 08:00:00,77.407,5.9,0.896
2016-07-03 09:00:00,77.603,6.0,0.898
2016-07-03 10:00:00,77.407,5.9,0.896
2016-07-03 11:00:00,77.407,5.8,0.896
2016-07-03 12:00:00,77.26,5.8,0.894
2016-07-03 13:00:00,76.77,7.5,0.889
2016-07-03 14:00:00,76.23,6.6,0.882
2016-07-03 15:00:00,75.838,6.4,0.878
2016-07-03 16:00:00,75.838,7.4,0.878
2016-07-03 17:00:00,75.838,7.6,0.878
2016-07-03 18:00:00,75.838,6.9,0.878
2016-07-03 19:00:00,75.544,6.4,0.874
2016-07-03 20:00:00,75.053,6.5,0.869
2016-07-03 21:00:00,75.004,6.4,0.868
2016-07-03 22:00:00,74.661,6.2,0.864
2016-07-03 23:00:00,74.122,6.3,0.858
2016-07-04 00:00:00,72.847,6.3,0.843
2016-07-04 01:00:00,72.16,6.3,0.835
2016-07-04 02:00:00,71.523,6.3,0.828
2016-07-04 03:00:00,70.983,6.1,0.822
2016-07-04 04:00:00,70.738,6.3,0.819
2016-07-04 05:00:00,70.346,6.5,0.814
2016-07-04 06:00:00,69.953,6.5,0.81
2016-07-04 07:00:00,69.953,6.1,0.81
2016-07-04 08:00:00,69.953,5.6,0.81
2016-07-04 09:00:00,69.904,4.9,0.809
2016-07-04 10:00:00,69.561,4.4,0.805
2016-07-04 11:00:00,69.414,3.9,0.803
2016-07-04 12:00:00,69.169,3.5,0.801
2016-07-04 13:00:00,69.12,3.2,0.8
2016-07-04 14:00:00,68.629,3.2,0.794
2016-07-04 15:00:00,68.237,3.0,0.79
2016-07-04 16:00:00,67.502,2.8,0.781
2016-07-04 17:00:00,66.864,2.7,0.774
2016-07-04 18:00:00,67.06,2.7,0.776
