id,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
0,"FC = 0.98, SFT = 0.1",24/11/2014 19:00,25/11/2014 14:00,19473.61075,20,973.6805376,0.98,0.1,storm_1,0.732,1,0,0,0,0
1,"FC = 0.98, SFT = 0.1",30/11/2014 20:00,2/12/2014 12:00,77266.08758,41,1884.538721,0.98,0.1,storm_2,4.299,1,0,1,0,1
2,"FC = 0.98, SFT = 0.1",4/12/2014 20:00,7/12/2014 23:00,199550.7601,76,2625.667897,0.98,0.1,storm_3,7.092,1,0,1,0,1
3,"FC = 0.98, SFT = 0.1",8/12/2014 11:00,9/12/2014 18:00,78724.7296,32,2460.1478,0.98,0.1,storm_4,3.742,1,0,1,0,1
4,"FC = 0.98, SFT = 0.1",10/12/2014 16:00,13/12/2014 6:00,160760.7295,63,2551.757612,0.98,0.1,storm_5,5.44,1,0,1,0,1
5,"FC = 0.98, SFT = 0.1",23/12/2014 12:00,24/12/2014 6:00,17287.4978,19,909.8683053,0.98,0.1,storm_6,1.003,1,0,0,0,1
6,"FC = 0.98, SFT = 0.1",25/12/2014 17:00,27/12/2014 0:00,66681.90617,32,2083.809568,0.98,0.1,storm_7,3.402,1,0,1,0,1
7,"FC = 0.98, SFT = 0.1",2/01/2015 18:00,3/01/2015 16:00,18654.79662,23,811.0781138,0.98,0.1,storm_8,0.774,1,0,0,0,0
8,"FC = 0.98, SFT = 0.1",4/01/2015 17:00,6/01/2015 20:00,367256.24,52,7062.620001,0.98,0.1,storm_9,24.468,1,1,1,1,1
9,"FC = 0.98, SFT = 0.1",10/01/2015 1:00,13/01/2015 12:00,150699.6725,84,1794.04372,0.98,0.1,storm_10,1.954,1,0,0,0,1
10,"FC = 0.98, SFT = 0.1",14/01/2015 4:00,15/01/2015 5:00,19736.56462,26,759.0986392,0.98,0.1,storm_11,1.046,1,0,0,0,1
11,"FC = 0.98, SFT = 0.1",24/01/2015 18:00,25/01/2015 7:00,12140.97372,14,867.2124084,0.98,0.1,storm_12,0.606,1,0,0,0,0
12,"FC = 0.98, SFT = 0.1",27/01/2015 13:00,29/01/2015 15:00,54969.3111,51,1077.829629,0.98,0.1,storm_13,0.983,1,0,0,0,0
13,"FC = 0.98, SFT = 0.1",2/02/2015 0:00,2/02/2015 20:00,15698.24982,21,747.5357059,0.98,0.1,storm_14,0.808,1,0,0,0,0
14,"FC = 0.98, SFT = 0.1",12/02/2015 22:00,13/02/2015 22:00,36631.56391,25,1465.262556,0.98,0.1,storm_15,1.972,1,0,0,0,1
15,"FC = 0.98, SFT = 0.1",14/02/2015 19:00,15/02/2015 6:00,9954.985924,12,829.5821603,0.98,0.1,storm_16,0.683,1,0,0,0,0
16,"FC = 0.98, SFT = 0.1",1/03/2015 17:00,3/03/2015 0:00,68436.41369,32,2138.637928,0.98,0.1,storm_17,4.589,1,0,1,0,1
17,"FC = 0.98, SFT = 0.1",24/03/2015 15:00,25/03/2015 11:00,42720.40721,21,2034.305105,0.98,0.1,storm_18,2.678,1,0,1,0,1
18,"FC = 0.98, SFT = 0.1",3/04/2015 15:00,5/04/2015 13:00,76912.27731,47,1636.431432,0.98,0.1,storm_19,1.403,1,0,0,0,1
19,"FC = 0.98, SFT = 0.1",17/04/2015 4:00,18/04/2015 1:00,29636.31192,22,1347.105087,0.98,0.1,storm_20,1.256,1,0,0,0,1
20,"FC = 0.98, SFT = 0.1",18/04/2015 23:00,19/04/2015 17:00,30791.82394,19,1620.622313,0.98,0.1,storm_21,1.856,1,0,0,0,1
21,"FC = 0.98, SFT = 0.1",20/04/2015 4:00,14/05/2015 18:00,5223887.539,121,43172.62429,0.98,0.1,storm_22,39.366,1,1,1,1,1
22,"FC = 0.98, SFT = 0.1",19/05/2015 19:00,21/05/2015 9:00,37392.27057,39,958.7761684,0.98,0.1,storm_23,1.339,1,0,0,0,1
23,"FC = 0.98, SFT = 0.1",22/05/2015 17:00,23/05/2015 5:00,5948.696407,13,457.5920313,0.98,0.1,storm_24,0.507,1,0,0,0,0
24,"FC = 0.98, SFT = 0.1",16/06/2015 14:00,17/06/2015 12:00,24703.02478,23,1074.044556,0.98,0.1,storm_25,1.316,1,0,0,0,1
25,"FC = 0.98, SFT = 0.1",17/06/2015 16:00,18/06/2015 8:00,15498.8826,17,911.6989764,0.98,0.1,storm_26,0.838,1,0,0,0,0
26,"FC = 0.98, SFT = 0.1",19/06/2015 12:00,20/06/2015 0:00,6485.375583,13,498.8750448,0.98,0.1,storm_27,0.413,0,0,0,0,0
27,"FC = 0.98, SFT = 0.1",10/07/2015 18:00,11/07/2015 5:00,10791.15531,12,899.2629427,0.98,0.1,storm_28,0.726,1,0,0,0,0
28,"FC = 0.98, SFT = 0.1",11/07/2015 21:00,14/07/2015 4:00,62898.15356,56,1123.181314,0.98,0.1,storm_29,1.591,1,0,0,0,1
29,"FC = 0.98, SFT = 0.1",16/07/2015 14:00,19/07/2015 4:00,63682.79243,63,1010.837975,0.98,0.1,storm_30,1.155,1,0,0,0,1
30,"FC = 0.98, SFT = 0.1",23/08/2015 10:00,24/08/2015 8:00,16733.82679,23,727.5576867,0.98,0.1,storm_31,0.656,1,0,0,0,0
31,"FC = 0.98, SFT = 0.1",24/08/2015 11:00,26/08/2015 11:00,50571.52902,49,1032.072021,0.98,0.1,storm_32,1.389,1,0,0,0,1
