,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
0,"FC = 0.98, SFT = 0.1",2014-11-24 19:00:00,2014-11-25 14:00:00,19473.61075,20,973.6805376,0.98,0.1,storm_1,0.137,0,0,0,0,0
1,"FC = 0.98, SFT = 0.1",2014-11-30 20:00:00,2014-12-02 12:00:00,77266.08758,41,1884.538721,0.98,0.1,storm_2,0.52,1,0,0,0,0
2,"FC = 0.98, SFT = 0.1",2014-12-04 20:00:00,2014-12-07 23:00:00,199550.7601,76,2625.667897,0.98,0.1,storm_3,1.095,1,0,0,0,1
3,"FC = 0.98, SFT = 0.1",2014-12-08 11:00:00,2014-12-09 18:00:00,78724.7296,32,2460.1478,0.98,0.1,storm_4,0.974,1,0,0,0,0
4,"FC = 0.98, SFT = 0.1",2014-12-10 16:00:00,2014-12-13 06:00:00,160760.7295,63,2551.757612,0.98,0.1,storm_5,1.157,1,0,0,0,1
5,"FC = 0.98, SFT = 0.1",2014-12-23 12:00:00,2014-12-24 06:00:00,17287.4978,19,909.8683053,0.98,0.1,storm_6,0.291,0,0,0,0,0
6,"FC = 0.98, SFT = 0.1",2014-12-25 17:00:00,2014-12-27 00:00:00,66681.90617,32,2083.809568,0.98,0.1,storm_7,0.544,1,0,0,0,0
7,"FC = 0.98, SFT = 0.1",2015-01-02 18:00:00,2015-01-03 16:00:00,18654.79662,23,811.0781138,0.98,0.1,storm_8,0.2,0,0,0,0,0
8,"FC = 0.98, SFT = 0.1",2015-01-04 17:00:00,2015-01-06 20:00:00,367256.24,52,7062.620001,0.98,0.1,storm_9,2.813,1,0,1,0,1
9,"FC = 0.98, SFT = 0.1",2015-01-10 01:00:00,2015-01-13 12:00:00,150699.6725,84,1794.04372,0.98,0.1,storm_10,0.965,1,0,0,0,0
10,"FC = 0.98, SFT = 0.1",2015-01-14 04:00:00,2015-01-15 05:00:00,19736.56462,26,759.0986392,0.98,0.1,storm_11,0.475,0,0,0,0,0
11,"FC = 0.98, SFT = 0.1",2015-01-24 18:00:00,2015-01-25 07:00:00,12140.97372,14,867.2124084,0.98,0.1,storm_12,0.203,0,0,0,0,0
12,"FC = 0.98, SFT = 0.1",2015-01-27 13:00:00,2015-01-29 15:00:00,54969.3111,51,1077.829629,0.98,0.1,storm_13,0.489,0,0,0,0,0
13,"FC = 0.98, SFT = 0.1",2015-02-02 00:00:00,2015-02-02 20:00:00,15698.24982,21,747.5357059,0.98,0.1,storm_14,0.133,0,0,0,0,0
14,"FC = 0.98, SFT = 0.1",2015-02-12 22:00:00,2015-02-13 22:00:00,36631.56391,25,1465.262556,0.98,0.1,storm_15,0.133,0,0,0,0,0
15,"FC = 0.98, SFT = 0.1",2015-02-14 19:00:00,2015-02-15 06:00:00,9954.985924,12,829.5821603,0.98,0.1,storm_16,0.515,1,0,0,0,0
16,"FC = 0.98, SFT = 0.1",2015-03-01 17:00:00,2015-03-03 00:00:00,68436.41369,32,2138.637928,0.98,0.1,storm_17,0.632,1,0,0,0,0
17,"FC = 0.98, SFT = 0.1",2015-03-24 15:00:00,2015-03-25 11:00:00,42720.40721,21,2034.305105,0.98,0.1,storm_18,0.447,0,0,0,0,0
18,"FC = 0.98, SFT = 0.1",2015-04-03 15:00:00,2015-04-05 13:00:00,76912.27731,47,1636.431432,0.98,0.1,storm_19,0.673,1,0,0,0,0
19,"FC = 0.98, SFT = 0.1",2015-04-17 04:00:00,2015-04-18 01:00:00,29636.31192,22,1347.105087,0.98,0.1,storm_20,0.437,0,0,0,0,0
20,"FC = 0.98, SFT = 0.1",2015-04-18 23:00:00,2015-04-19 17:00:00,30791.82394,19,1620.622313,0.98,0.1,storm_21,0.437,0,0,0,0,0
21,"FC = 0.98, SFT = 0.1",2015-04-20 04:00:00,2015-05-14 18:00:00,5223887.539,121,43172.62429,0.98,0.1,storm_22,22.711,1,1,1,1,1
22,"FC = 0.98, SFT = 0.1",2015-05-19 19:00:00,2015-05-21 09:00:00,37392.27057,39,958.7761684,0.98,0.1,storm_23,0.515,1,0,0,0,0
23,"FC = 0.98, SFT = 0.1",2015-05-22 17:00:00,2015-05-23 05:00:00,5948.696407,13,457.5920313,0.98,0.1,storm_24,0.425,0,0,0,0,0
24,"FC = 0.98, SFT = 0.1",2015-06-16 14:00:00,2015-06-17 12:00:00,24703.02478,23,1074.044556,0.98,0.1,storm_25,0.386,0,0,0,0,0
25,"FC = 0.98, SFT = 0.1",2015-06-17 16:00:00,2015-06-18 08:00:00,15498.8826,17,911.6989764,0.98,0.1,storm_26,0.401,0,0,0,0,0
26,"FC = 0.98, SFT = 0.1",2015-06-19 12:00:00,2015-06-20 00:00:00,6485.375583,13,498.8750448,0.98,0.1,storm_27,0.432,0,0,0,0,0
27,"FC = 0.98, SFT = 0.1",2015-07-10 18:00:00,2015-07-11 05:00:00,10791.15531,12,899.2629427,0.98,0.1,storm_28,0.242,0,0,0,0,0
