id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
28,2014-11-30,0.0,4.111,0.9,0.048,1,1
29,2014-12-01,18.5,29.928,12.6,0.346,1,1
30,2014-12-02,3.0,44.895,41.4,0.52,1,1
32,2014-12-04,0.5,7.418,2.2,0.086,2,2
33,2014-12-05,41.0,31.336,14.0,0.363,2,2
34,2014-12-06,1.5,94.592,38.8,1.095,2,2
35,2014-12-07,18.0,49.603,14.6,0.574,2,2
36,2014-12-08,3.5,68.552,37.6,0.793,3,3
37,2014-12-09,11.5,84.196,71.4,0.974,3,3
38,2014-12-10,0.0,34.532,19.3,0.4,4,4
39,2014-12-11,29.0,99.965,32.8,1.157,4,4
40,2014-12-12,8.0,67.612,34.0,0.783,4,4
41,2014-12-13,1.5,49.504,12.9,0.573,4,4
53,2014-12-25,0.0,15.418,3.4,0.178,6,5
54,2014-12-26,26.5,42.288,11.7,0.489,6,5
55,2014-12-27,0.5,46.969,19.8,0.544,6,5
63,2015-01-04,0.0,19.304,113.4,0.223,8,6
64,2015-01-05,8.5,243.025,69.8,2.813,8,6
65,2015-01-06,0.5,140.71,42.7,1.629,8,6
69,2015-01-10,6.5,16.488,6.1,0.191,9,7
70,2015-01-11,5.5,53.986,23.1,0.625,9,7
71,2015-01-12,24.0,83.344,24.5,0.965,9,7
72,2015-01-13,1.5,64.365,20.0,0.745,9,7
104,2015-02-14,1.5,44.458,22.6,0.515,15,8
105,2015-02-15,1.0,20.359,6.8,0.236,15,8
119,2015-03-01,0.0,9.777,7.5,0.113,16,9
120,2015-03-02,20.5,54.625,41.8,0.632,16,9
121,2015-03-03,0.0,32.144,63.9,0.372,16,9
152,2015-04-03,1.0,6.483,2.1,0.075,18,10
153,2015-04-04,9.0,26.364,11.6,0.305,18,10
154,2015-04-05,17.0,58.109,18.6,0.673,18,10
169,2015-04-20,2.0,43.29,29.2,0.501,21,11
170,2015-04-21,57.0,656.33,89.5,7.596,21,11
171,2015-04-22,23.5,1962.263,72.2,22.711,21,11
172,2015-04-23,23.5,1725.811,39.7,19.975,21,11
173,2015-04-24,5.0,1450.859,33.2,16.792,21,11
174,2015-04-25,0.0,297.09,15.1,3.439,21,11
178,2015-05-19,0.0,27.278,2.7,0.316,22,12
179,2015-05-20,8.5,37.497,7.7,0.434,22,12
180,2015-05-21,1.5,44.459,13.5,0.515,22,12
231,2015-07-11,7.5,20.945,6.9,0.242,28,13
232,2015-07-12,11.0,24.535,11.1,0.284,28,13
233,2015-07-13,3.0,58.533,50.2,0.677,28,13
234,2015-07-14,4.0,34.859,11.0,0.403,28,13
236,2015-07-16,0.0,19.99,4.0,0.231,29,14
237,2015-07-17,6.0,26.198,5.2,0.303,29,14
238,2015-07-18,5.5,52.361,18.5,0.606,29,14
239,2015-07-19,0.5,41.714,11.5,0.483,29,14
275,2015-08-24,9.5,21.709,10.6,0.251,31,15
276,2015-08-25,8.0,32.958,12.8,0.381,31,15
277,2015-08-26,4.0,43.941,34.6,0.509,31,15
277,2015-08-26,4.0,43.941,34.6,0.509,32,16
278,2015-08-27,2.0,30.167,8.7,0.349,32,16
348,2015-11-05,8.0,23.5,17.1,0.272,38,17
349,2015-11-06,18.5,36.779,20.1,0.426,38,17
350,2015-11-07,3.0,71.385,34.7,0.826,38,17
395,2015-12-22,9.0,3.668,2.9,0.042,40,18
396,2015-12-23,23.5,62.45,22.6,0.723,40,18
397,2015-12-24,2.0,35.928,6.7,0.416,40,18
408,2016-01-04,15.0,11.45,3.6,0.133,42,19
409,2016-01-05,5.0,20.247,4.4,0.234,42,19
410,2016-01-06,25.0,155.045,30.8,1.795,42,19
411,2016-01-07,6.5,101.261,17.0,1.172,42,19
412,2016-01-08,0.0,43.573,6.3,0.504,42,19
419,2016-01-15,11.5,6.494,2.3,0.075,43,20
420,2016-01-16,26.5,183.416,26.3,2.123,43,20
