id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
63,2015-01-04,0.0,19.304,113.4,0.223,8,1
64,2015-01-05,8.5,243.025,69.8,2.813,8,1
65,2015-01-06,0.5,140.71,42.7,1.629,8,1
169,2015-04-20,2.0,43.29,29.2,0.501,21,2
170,2015-04-21,57.0,656.33,89.5,7.596,21,2
171,2015-04-22,23.5,1962.263,72.2,22.711,21,2
172,2015-04-23,23.5,1725.811,39.7,19.975,21,2
173,2015-04-24,5.0,1450.859,33.2,16.792,21,2
174,2015-04-25,0.0,297.09,15.1,3.439,21,2
419,2016-01-15,11.5,6.494,2.3,0.075,43,3
420,2016-01-16,26.5,183.416,26.3,2.123,43,3
421,2016-01-17,1.0,33.417,4.8,0.387,43,3
425,2016-01-21,0.0,9.695,2.5,0.112,44,4
426,2016-01-22,36.0,144.447,28.6,1.672,44,4
427,2016-01-23,19.0,205.659,45.7,2.38,44,4
428,2016-01-24,0.0,117.156,18.8,1.356,44,4
560,2016-06-04,2.0,2.509,2.3,0.029,53,5
561,2016-06-05,36.5,107.858,45.9,1.248,53,5
562,2016-06-06,38.0,398.096,57.7,4.608,53,5
563,2016-06-07,0.5,211.632,24.7,2.449,53,5
575,2016-06-19,9.5,38.703,11.3,0.448,56,6
576,2016-06-20,25.0,223.18,26.6,2.583,56,6
577,2016-06-21,2.5,343.551,24.9,3.976,56,6
578,2016-06-22,0.0,87.291,9.1,1.01,56,6
579,2016-06-23,4.0,73.459,7.7,0.85,56,6
606,2016-07-20,1.0,24.671,0.3,0.286,63,7
607,2016-07-21,41.0,571.863,71.3,6.619,63,7
608,2016-07-22,0.0,206.636,14.4,2.392,63,7
609,2016-07-23,13.5,92.043,6.7,1.065,63,7
610,2016-07-24,5.5,187.02,61.7,2.165,63,7
611,2016-07-25,0.0,74.669,5.7,0.864,63,7
612,2016-07-26,1.5,66.757,5.3,0.773,63,7
650,2016-09-02,3.5,27.696,5.7,0.321,69,8
651,2016-09-03,32.5,1314.055,36.1,15.209,69,8
652,2016-09-04,5.5,464.186,32.9,5.373,69,8
653,2016-09-05,0.0,87.684,8.9,1.015,69,8
654,2016-09-06,0.0,59.784,7.0,0.692,69,8
850,2017-03-21,0.0,47.474,8.1,0.549,90,9
851,2017-03-22,29.0,160.943,39.8,1.863,90,9
852,2017-03-23,5.0,397.665,55.5,4.603,90,9
853,2017-03-24,4.5,69.278,9.9,0.802,90,9
854,2017-03-25,2.0,58.533,6.3,0.677,90,9
855,2017-03-26,2.0,40.898,3.2,0.473,90,9
856,2017-03-27,0.0,34.848,3.3,0.403,90,9
1457,2018-11-28,0.5,6.378,2.2,0.074,131,10
1458,2018-11-29,82.0,688.709,96.5,7.971,131,10
1459,2018-11-30,0.0,138.741,19.2,1.606,131,10
1460,2018-12-01,0.0,48.462,5.3,0.561,131,10
1478,2018-12-19,0.0,18.641,2.9,0.216,133,11
1479,2018-12-20,35.0,383.222,55.5,4.435,133,11
1480,2018-12-21,14.5,316.642,56.2,3.665,133,11
1481,2018-12-22,0.0,111.772,17.6,1.294,133,11
1482,2018-12-23,0.5,48.453,5.5,0.561,133,11
1483,2018-12-24,0.0,31.341,3.4,0.363,133,11
1513,2019-01-23,3.0,11.288,3.1,0.131,137,12
1514,2019-01-24,11.5,215.747,67.9,2.497,137,12
1890,2020-02-06,0.0,2.605,4.2,0.03,154,13
1891,2020-02-07,9.5,6.264,6.6,0.072,154,13
1892,2020-02-08,15.0,22.214,9.5,0.257,154,13
1893,2020-02-09,30.0,97.234,25.5,1.125,154,13
1894,2020-02-10,71.5,1611.146,124.7,18.648,154,13
1895,2020-02-11,4.0,489.512,24.4,5.666,154,13
1896,2020-02-12,3.5,100.24,7.6,1.16,154,13
1901,2020-02-17,0.0,70.754,28.3,0.819,157,14
1902,2020-02-18,35.0,400.799,95.1,4.639,157,14
1903,2020-02-19,7.5,117.127,19.5,1.356,157,14
1904,2020-02-20,0.0,385.921,175.1,4.467,157,14
1905,2020-02-21,0.0,67.919,12.4,0.786,157,14
1938,2020-03-25,0.0,19.873,1.3,0.23,162,15
1939,2020-03-26,36.0,55.426,11.7,0.642,162,15
1940,2020-03-27,4.5,199.303,45.2,2.307,162,15
1941,2020-03-28,0.5,52.473,4.3,0.607,162,15
1946,2020-04-02,0.0,21.718,1.6,0.251,164,16
1947,2020-04-03,7.5,33.828,3.4,0.392,164,16
1948,2020-04-04,9.5,56.479,9.1,0.654,164,16
1949,2020-04-05,13.5,243.799,53.8,2.822,164,16
1950,2020-04-06,0.0,128.158,9.0,1.483,164,16
1951,2020-04-07,0.0,83.477,3.6,0.966,164,16
1952,2020-04-08,0.0,67.991,2.4,0.787,164,16
2061,2020-07-26,2.0,13.259,2.9,0.153,171,17
2062,2020-07-27,35.5,72.948,30.5,0.844,171,17
2063,2020-07-28,22.0,477.087,70.2,5.522,171,17
2064,2020-07-29,9.0,491.02,38.7,5.683,171,17
2065,2020-07-30,0.0,183.976,13.9,2.129,171,17
2066,2020-07-31,0.0,117.188,7.8,1.356,171,17
2067,2020-08-01,0.0,86.831,5.8,1.005,171,17
2068,2020-08-02,0.0,71.092,4.8,0.823,171,17
2069,2020-08-03,0.0,59.986,4.3,0.694,171,17
2073,2020-08-07,0.0,39.133,3.1,0.453,172,18
2074,2020-08-08,15.0,100.295,17.2,1.161,172,18
2075,2020-08-09,0.0,137.107,16.1,1.587,172,18
2076,2020-08-10,10.5,109.399,10.1,1.266,172,18
2077,2020-08-11,15.0,470.076,41.3,5.441,172,18
2078,2020-08-12,1.0,228.441,12.2,2.644,172,18
2079,2020-08-13,0.0,141.267,6.7,1.635,173,19
2080,2020-08-14,8.0,195.074,18.7,2.258,173,19
2080,2020-08-14,8.0,195.074,18.7,2.258,174,20
2081,2020-08-15,15.5,155.971,9.9,1.805,174,20
2082,2020-08-16,0.5,248.724,15.4,2.879,174,20
2083,2020-08-17,0.0,145.981,6.6,1.69,174,20
2084,2020-08-18,0.0,113.837,5.8,1.318,174,20
2085,2020-08-19,0.0,95.9,5.0,1.11,174,20
2213,2021-01-03,0.5,46.735,7.6,0.541,193,21
2214,2021-01-04,17.5,50.724,14.7,0.587,193,21
2215,2021-01-05,12.0,193.464,61.9,2.239,193,21
2216,2021-01-06,0.5,138.354,16.7,1.601,193,21
2217,2021-01-07,4.5,71.75,7.7,0.83,193,21
2218,2021-01-08,4.0,70.322,7.4,0.814,193,21
2219,2021-01-09,0.5,56.396,6.2,0.653,193,21
2220,2021-01-10,0.0,44.113,5.2,0.511,193,21
2439,2021-08-23,0.0,13.297,21.5,0.154,217,22
2440,2021-08-24,10.5,19.984,28.7,0.231,217,22
2441,2021-08-25,44.0,292.107,161.5,3.381,217,22
2442,2021-08-26,1.0,299.109,43.7,3.462,217,22
2443,2021-08-27,0.0,168.034,25.7,1.945,217,22
2444,2021-08-28,0.0,102.182,24.4,1.183,217,22
2445,2021-08-29,0.0,75.235,17.6,0.871,217,22
2446,2021-08-30,1.0,62.158,12.4,0.719,217,22
2447,2021-08-31,0.0,55.966,11.7,0.648,217,22
2515,2021-11-07,0.0,23.568,53.0,0.273,228,23
2516,2021-11-08,25.5,42.996,78.2,0.498,228,23
2517,2021-11-09,9.0,173.083,80.6,2.003,228,23
2518,2021-11-10,0.0,38.967,20.5,0.451,229,24
2519,2021-11-11,17.0,83.726,35.1,0.969,229,24
2520,2021-11-12,24.0,140.929,35.6,1.631,229,24
2521,2021-11-13,8.5,396.039,40.0,4.584,229,24
2522,2021-11-14,0.0,137.679,12.5,1.594,229,24
2523,2021-11-15,3.5,90.361,8.6,1.046,229,24
2524,2021-11-16,0.0,72.322,7.0,0.837,229,24
2525,2021-11-17,0.0,54.729,5.5,0.633,229,24
2533,2021-11-25,2.5,40.353,3.5,0.467,232,25
2534,2021-11-26,18.0,78.241,33.1,0.906,232,25
2535,2021-11-27,27.5,379.524,63.6,4.393,232,25
2536,2021-11-28,8.0,273.165,22.4,3.162,232,25
2537,2021-11-29,0.5,170.74,14.2,1.976,232,25
2538,2021-11-30,0.0,119.155,10.7,1.379,232,25
2539,2021-12-01,0.0,93.962,8.4,1.088,232,25
2730,2023-11-24,0.0,7.518,1.7,0.087,251,26
2731,2023-11-25,11.5,9.031,2.6,0.105,251,26
2732,2023-11-26,23.0,192.303,417.5,2.226,251,26
2733,2023-11-27,0.5,73.676,38.5,0.853,251,26
2755,2023-12-19,0.0,7.553,2.0,0.087,254,27
2756,2023-12-20,51.0,8.433,3.7,0.098,254,27
2757,2023-12-21,69.5,544.251,189.1,6.299,254,27
2758,2023-12-22,0.0,140.055,24.1,1.621,254,27
