id,q_quant,risingerp,fallingerp,hyst_index,flsh_index,stormID,start,end,q_peak
0,0.0,0.0,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
1,0.01,0.018430622792697332,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
2,0.02,0.036861245585394664,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
3,0.03,0.055291868378091996,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
4,0.04,0.07372249117078933,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
5,0.05,0.09215311396348667,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
6,0.06,0.11058373675618399,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
7,0.07,0.12901435954888135,,,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
8,0.08,0.14744498234157866,0.23995252196470962,-0.09250753962313096,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
9,0.09,0.165875605134276,0.23426219203082227,-0.06838658689654628,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
10,0.1,0.18430622792697335,0.19642299503193747,-0.012116767104964121,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
11,0.11,0.20273685071967065,0.18098002204672092,0.02175682867294973,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
12,0.12,0.22001878197198793,0.18354166981260286,0.03647711215938507,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
13,0.13,0.2302203493208478,0.18581479747721083,0.04440555184363698,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
14,0.14,0.2404219166697077,0.18752256265446549,0.052899354015242206,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
15,0.15,0.25062348401856754,0.1892303278317201,0.06139315618684743,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
16,0.16,0.2608250513674274,0.19101751895708044,0.06980753241034696,1.0,0.0,2014-11-30 21:00:00,2014-12-01 09:00:00,4.299
