id,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.6,stormID
0,"FC = 0.94, SFT = 0.2",2014-11-30 21:00:00,2014-12-01 09:00:00,54450.3196,12,4188.486123,0.94,0.2,storm_1,4.299,1,0.0
1,"FC = 0.94, SFT = 0.2",2014-12-04 21:00:00,2014-12-11 11:00:00,91262.81901,158,6084.187934,0.94,0.2,storm_2,7.092,1,1.0
2,"FC = 0.94, SFT = 0.2",2014-12-25 18:00:00,2014-12-26 11:00:00,51642.55219,17,2869.030677,0.94,0.2,storm_6,3.402,1,2.0
3,"FC = 0.94, SFT = 0.2",2015-01-04 17:00:00,2015-01-05 19:00:00,326175.9879,26,12080.59215,0.94,0.2,storm_7,24.468,1,3.0
4,"FC = 0.94, SFT = 0.2",2015-01-11 08:00:00,2015-01-12 15:00:00,61071.81491,31,1908.494216,0.94,0.2,storm_8,1.535,1,4.0
5,"FC = 0.94, SFT = 0.2",2015-02-12 23:00:00,2015-02-13 10:00:00,27455.58313,11,2287.965261,0.94,0.2,storm_9,1.972,1,5.0
6,"FC = 0.94, SFT = 0.2",2015-03-01 17:00:00,2015-03-02 08:00:00,55145.0952,15,3446.56845,0.94,0.2,storm_10,4.589,1,6.0
7,"FC = 0.94, SFT = 0.2",2015-03-24 16:00:00,2015-03-25 03:00:00,36134.53142,11,3011.210951,0.94,0.2,storm_11,2.678,1,7.0
8,"FC = 0.94, SFT = 0.2",2015-04-04 08:00:00,2015-04-05 01:00:00,38170.49819,17,2120.583233,0.94,0.2,storm_12,1.403,1,8.0
9,"FC = 0.94, SFT = 0.2",2015-04-17 05:00:00,2015-04-17 16:00:00,21671.92732,11,1805.993943,0.94,0.2,storm_13,1.256,1,9.0
10,"FC = 0.94, SFT = 0.2",2015-04-20 07:00:00,2015-05-14 16:00:00,3486487.813,585,30055.92942,0.94,0.2,storm_14,39.366,1,10.0
11,"FC = 0.94, SFT = 0.2",2015-05-19 20:00:00,2015-05-20 07:00:00,18134.38865,11,1511.199054,0.94,0.2,storm_15,1.339,1,11.0
12,"FC = 0.94, SFT = 0.2",2015-07-11 23:00:00,2015-07-12 14:00:00,28011.97201,15,1750.74825,0.94,0.2,storm_16,1.591,1,12.0
