id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
725,2014-11-30 20:00:00,4.0,4.052,2.9,0.047,1,1
726,2014-11-30 21:00:00,0.5,5.004,2.9,0.058,1,1
727,2014-11-30 22:00:00,0.0,48.458,33.7,0.561,1,1
728,2014-11-30 23:00:00,0.0,213.112,98.3,2.467,1,1
729,2014-12-01 00:00:00,0.0,371.467,143.8,4.299,1,1
730,2014-12-01 01:00:00,0.0,247.0,83.0,2.859,1,1
731,2014-12-01 02:00:00,0.0,144.555,50.6,1.673,1,1
732,2014-12-01 03:00:00,0.0,104.642,41.2,1.211,1,1
733,2014-12-01 04:00:00,0.0,76.681,33.7,0.888,1,1
734,2014-12-01 05:00:00,0.0,63.61,29.8,0.736,1,1
735,2014-12-01 06:00:00,0.0,51.408,29.0,0.595,1,1
736,2014-12-01 07:00:00,0.0,43.329,28.2,0.501,1,1
737,2014-12-01 08:00:00,0.0,37.237,37.0,0.431,1,1
738,2014-12-01 09:00:00,0.0,32.198,36.5,0.373,1,1
739,2014-12-01 10:00:00,0.0,28.681,45.0,0.332,1,1
740,2014-12-01 11:00:00,0.5,25.516,52.3,0.295,1,1
741,2014-12-01 12:00:00,0.0,22.914,59.8,0.265,1,1
742,2014-12-01 13:00:00,0.0,21.445,56.0,0.248,1,1
743,2014-12-01 14:00:00,0.0,19.194,54.0,0.222,1,1
744,2014-12-01 15:00:00,0.0,17.813,52.8,0.206,1,1
745,2014-12-01 16:00:00,0.0,17.288,52.8,0.2,1,1
746,2014-12-01 17:00:00,0.0,16.855,48.3,0.195,1,1
747,2014-12-01 18:00:00,0.0,16.349,43.0,0.189,1,1
748,2014-12-01 19:00:00,0.0,15.501,38.8,0.179,1,1
749,2014-12-01 20:00:00,2.5,14.86,35.5,0.172,1,1
750,2014-12-01 21:00:00,0.0,15.602,28.2,0.181,1,1
751,2014-12-01 22:00:00,0.0,15.198,22.0,0.176,1,1
752,2014-12-01 23:00:00,0.0,14.372,20.0,0.166,1,1
753,2014-12-02 00:00:00,0.0,15.238,17.0,0.176,1,1
