"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"1",0,0,NA,NA,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"2",0.01,0.00422079589216945,NA,NA,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"3",0.02,0.0084415917843389,NA,NA,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"4",0.03,0.0126623876765083,NA,NA,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"5",0.04,0.0168831835686778,NA,NA,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"6",0.05,0.0211039794608472,0.0172317073170732,0.00387227214377409,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"7",0.06,0.0253247753530167,0.0202390243902439,0.00508575096277281,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"8",0.07,0.0295455712451861,0.0232463414634146,0.00629922978177152,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"9",0.08,0.0337663671373556,0.0262536585365853,0.00751270860077024,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"10",0.09,0.037987163029525,0.0292609756097561,0.00872618741976896,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"11",0.1,0.0422079589216945,0.0312682926829268,0.0109396662387677,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"12",0.11,0.0464287548138639,0.0332731707317073,0.0131555840821566,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"13",0.12,0.0506495507060334,0.0352780487804878,0.0153715019255456,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"14",0.13,0.0548703465982028,0.0372829268292683,0.0175874197689345,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"15",0.14,0.0590911424903723,0.0396264808362369,0.0194646616541353,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"16",0.15,0.0633119383825417,0.0442090592334495,0.0191028791490923,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"17",0.16,0.0675327342747112,0.048791637630662,0.0187410966440492,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"18",0.17,0.0717535301668806,0.0533742160278745,0.0183793141390061,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"19",0.18,0.0759743260590501,0.0579567944250871,0.018017531633963,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"20",0.19,0.0801951219512195,0.0625393728222996,0.0176557491289199,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"21",0.2,0.084415917843389,0.0671219512195122,0.0172939666238768,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"22",0.21,0.0886367137355584,0.0717045296167247,0.0169321841188337,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"23",0.22,0.0928575096277279,0.0762871080139372,0.0165704016137906,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"24",0.23,0.0970783055198973,0.0794727954971857,0.0176055100227116,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"25",0.24,0.101299101412067,0.0817861163227016,0.0195129850893651,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"26",0.25,0.105519897304236,0.0840994371482176,0.0214204601560186,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
