"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.98, SFT = 0.1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1","storm_1"
"2","FC = 0.98, SFT = 0.1","2014-11-16 13:00:00","2014-11-16 21:00:00",5924.41089993206,9,658.267877770229,"0.98","0.1","storm_2"
"3","FC = 0.98, SFT = 0.1","2014-11-24 19:00:00","2014-11-25 14:00:00",19473.6107525538,20,973.680537627692,"0.98","0.1","storm_3"
"4","FC = 0.98, SFT = 0.1","2014-11-30 20:00:00","2014-12-02 12:00:00",77266.0875757379,41,1884.53872135946,"0.98","0.1","storm_4"
"5","FC = 0.98, SFT = 0.1","2014-12-04 20:00:00","2014-12-07 23:00:00",199550.760138126,76,2625.66789655429,"0.98","0.1","storm_5"
"6","FC = 0.98, SFT = 0.1","2014-12-08 11:00:00","2014-12-09 18:00:00",78724.7295967073,32,2460.1477998971,"0.98","0.1","storm_6"
"7","FC = 0.98, SFT = 0.1","2014-12-10 16:00:00","2014-12-13 06:00:00",160760.729544565,63,2551.75761181849,"0.98","0.1","storm_7"
"8","FC = 0.98, SFT = 0.1","2014-12-23 12:00:00","2014-12-24 06:00:00",17287.497799908,19,909.868305258314,"0.98","0.1","storm_8"
"9","FC = 0.98, SFT = 0.1","2014-12-25 17:00:00","2014-12-26 23:00:00",66192.4547251063,31,2135.24047500343,"0.98","0.1","storm_9"
"10","FC = 0.99, SFT = 0.1","2014-11-01 19:00:00","2014-11-02 05:00:00",7801.37127299016,11,709.215570271832,"0.99","0.1","storm_1"
"11","FC = 0.99, SFT = 0.1","2014-11-16 13:00:00","2014-11-16 21:00:00",5972.34108559769,9,663.593453955299,"0.99","0.1","storm_2"
"12","FC = 0.99, SFT = 0.1","2014-11-24 19:00:00","2014-11-25 14:00:00",19778.6412260393,20,988.932061301965,"0.99","0.1","storm_3"
"13","FC = 0.99, SFT = 0.1","2014-11-30 20:00:00","2014-12-02 15:00:00",80973.4561725973,44,1840.30582210448,"0.99","0.1","storm_4"
"14","FC = 0.99, SFT = 0.1","2014-12-04 20:00:00","2014-12-08 03:00:00",212688.493326028,80,2658.60616657535,"0.99","0.1","storm_5"
"15","FC = 0.99, SFT = 0.1","2014-12-08 10:00:00","2014-12-09 21:00:00",86795.3925100521,36,2410.98312527923,"0.99","0.1","storm_6"
"16","FC = 0.99, SFT = 0.1","2014-12-10 16:00:00","2014-12-13 20:00:00",177204.950291436,77,2301.36299079788,"0.99","0.1","storm_7"
"17","FC = 0.99, SFT = 0.1","2014-12-23 11:00:00","2014-12-24 07:00:00",18541.2089564752,21,882.914712213106,"0.99","0.1","storm_8"
"18","FC = 0.99, SFT = 0.1","2014-12-25 17:00:00","2014-12-27 05:00:00",71189.788256675,37,1924.04833126149,"0.99","0.1","storm_9"
"19","FC = 0.98, SFT = 0.2","2014-11-24 20:00:00","2014-11-25 10:00:00",16853.9448167516,15,1123.59632111677,"0.98","0.2","storm_1"
"20","FC = 0.98, SFT = 0.2","2014-11-30 21:00:00","2014-12-01 12:00:00",59523.113402947,16,3720.19458768418,"0.98","0.2","storm_2"
"21","FC = 0.98, SFT = 0.2","2014-12-02","2014-12-02 06:00:00",8668.18830610492,7,1238.31261515785,"0.98","0.2","storm_3"
"22","FC = 0.98, SFT = 0.2","2014-12-04 21:00:00","2014-12-05 14:00:00",97832.1582633606,18,5435.11990352004,"0.98","0.2","storm_4"
"23","FC = 0.98, SFT = 0.2","2014-12-05 17:00:00","2014-12-06 01:00:00",12950.3505108913,9,1438.92783454348,"0.98","0.2","storm_5"
"24","FC = 0.98, SFT = 0.2","2014-12-06 06:00:00","2014-12-06 12:00:00",7816.44467553112,7,1116.6349536473,"0.98","0.2","storm_6"
"25","FC = 0.98, SFT = 0.2","2014-12-06 20:00:00","2014-12-07 20:00:00",72246.3585595817,25,2889.85434238327,"0.98","0.2","storm_7"
"26","FC = 0.98, SFT = 0.2","2014-12-08 12:00:00","2014-12-09 08:00:00",72843.4809224669,21,3468.73718678414,"0.98","0.2","storm_8"
"27","FC = 0.98, SFT = 0.2","2014-12-10 16:00:00","2014-12-12 16:00:00",153794.862094829,49,3138.67065499651,"0.98","0.2","storm_9"
"28","FC = 0.98, SFT = 0.2","2014-12-23 16:00:00","2014-12-23 23:00:00",12015.6083418592,8,1501.9510427324,"0.98","0.2","storm_10"
"29","FC = 0.98, SFT = 0.2","2014-12-25 18:00:00","2014-12-26 19:00:00",63624.0456402399,26,2447.07867847077,"0.98","0.2","storm_11"
"30","FC = 0.99, SFT = 0.2","2014-11-24 20:00:00","2014-11-25 10:00:00",17050.4619055307,15,1136.69746036871,"0.99","0.2","storm_1"
"31","FC = 0.99, SFT = 0.2","2014-11-30 21:00:00","2014-12-01 13:00:00",60767.0134798047,17,3574.53020469439,"0.99","0.2","storm_2"
"32","FC = 0.99, SFT = 0.2","2014-12-01 23:00:00","2014-12-02 07:00:00",10812.6181078131,9,1201.40201197923,"0.99","0.2","storm_3"
"33","FC = 0.99, SFT = 0.2","2014-12-04 21:00:00","2014-12-06 02:00:00",115372.081385706,30,3845.73604619019,"0.99","0.2","storm_4"
"34","FC = 0.99, SFT = 0.2","2014-12-06 05:00:00","2014-12-06 13:00:00",10556.1299878839,9,1172.90333198711,"0.99","0.2","storm_5"
"35","FC = 0.99, SFT = 0.2","2014-12-06 20:00:00","2014-12-07 21:00:00",78321.0798713664,26,3012.34922582178,"0.99","0.2","storm_6"
"36","FC = 0.99, SFT = 0.2","2014-12-08 11:00:00","2014-12-09 12:00:00",81379.5721472876,26,3129.98354412645,"0.99","0.2","storm_7"
"37","FC = 0.99, SFT = 0.2","2014-12-10 16:00:00","2014-12-12 19:00:00",164731.009134827,52,3167.9040218236,"0.99","0.2","storm_8"
"38","FC = 0.99, SFT = 0.2","2014-12-23 16:00:00","2014-12-24",12954.9397984573,9,1439.43775538414,"0.99","0.2","storm_9"
"39","FC = 0.99, SFT = 0.2","2014-12-25 18:00:00","2014-12-26 20:00:00",66405.1611230468,27,2459.45041196469,"0.99","0.2","storm_10"
"40","FC = 0.98, SFT = 0.5","2014-11-30 21:00:00","2014-12-01 06:00:00",52387.9342933453,10,5238.79342933453,"0.98","0.5","storm_1"
"41","FC = 0.98, SFT = 0.5","2014-12-04 22:00:00","2014-12-05 09:00:00",90879.4367531066,12,7573.28639609222,"0.98","0.5","storm_2"
"42","FC = 0.98, SFT = 0.5","2014-12-06 22:00:00","2014-12-07 08:00:00",55346.1075817933,11,5031.46432561757,"0.98","0.5","storm_3"
"43","FC = 0.98, SFT = 0.5","2014-12-08 13:00:00","2014-12-09 01:00:00",63916.8484291747,13,4916.68064839805,"0.98","0.5","storm_4"
"44","FC = 0.98, SFT = 0.5","2014-12-10 17:00:00","2014-12-11 10:00:00",109396.182344874,18,6077.56568582632,"0.98","0.5","storm_5"
"45","FC = 0.98, SFT = 0.5","2014-12-12 01:00:00","2014-12-12 07:00:00",14253.8960883254,7,2036.27086976077,"0.98","0.5","storm_6"
"46","FC = 0.98, SFT = 0.5","2014-12-25 19:00:00","2014-12-26 05:00:00",46162.6136011194,11,4196.6012364654,"0.98","0.5","storm_7"
"47","FC = 0.99, SFT = 0.5","2014-11-30 21:00:00","2014-12-01 07:00:00",54383.8208165327,11,4943.98371059389,"0.99","0.5","storm_1"
"48","FC = 0.99, SFT = 0.5","2014-12-04 22:00:00","2014-12-05 09:00:00",91339.8516761897,12,7611.65430634914,"0.99","0.5","storm_2"
"49","FC = 0.99, SFT = 0.5","2014-12-06 21:00:00","2014-12-07 09:00:00",61248.9110257564,13,4711.45469428895,"0.99","0.5","storm_3"
"50","FC = 0.99, SFT = 0.5","2014-12-08 13:00:00","2014-12-09 01:00:00",66592.5748281214,13,5122.50575600934,"0.99","0.5","storm_4"
"51","FC = 0.99, SFT = 0.5","2014-12-10 17:00:00","2014-12-11 11:00:00",113332.959769825,19,5964.8926194645,"0.99","0.5","storm_5"
"52","FC = 0.99, SFT = 0.5","2014-12-12","2014-12-12 08:00:00",19648.6048043254,9,2183.17831159171,"0.99","0.5","storm_6"
"53","FC = 0.99, SFT = 0.5","2014-12-25 19:00:00","2014-12-26 05:00:00",46754.0360089492,11,4250.36690990447,"0.99","0.5","storm_7"
