,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id
1,"FC = 0.98, SFT = 0.1",19/01/2020 15:00,20/01/2020 11:00,34255.50696,21,1631.214617,0.98,0.1,storm_1
2,"FC = 0.98, SFT = 0.1",27/01/2020 17:00,28/01/2020 6:00,18881.38542,14,1348.670387,0.98,0.1,storm_2
3,"FC = 0.98, SFT = 0.1",6/02/2020 21:00,12/02/2020 13:00,2156300.863,137,15739.42236,0.98,0.1,storm_3
4,"FC = 0.98, SFT = 0.1",12/02/2020 20:00,15/02/2020 5:00,111177.6348,58,1916.855773,0.98,0.1,storm_4
5,"FC = 0.98, SFT = 0.1",15/02/2020 23:00,16/02/2020 20:00,40310.81878,22,1832.309944,0.98,0.1,storm_5
6,"FC = 0.98, SFT = 0.1",17/02/2020 9:00,21/02/2020 22:00,810743.1692,110,7370.392447,0.98,0.1,storm_6
7,"FC = 0.98, SFT = 0.1",26/02/2020 14:00,27/02/2020 9:00,40220.02386,20,2011.001193,0.98,0.1,storm_7
8,"FC = 0.98, SFT = 0.1",3/03/2020 21:00,12/03/2020 1:00,349345.8451,197,1773.329163,0.98,0.1,storm_8
9,"FC = 0.98, SFT = 0.1",14/03/2020 16:00,16/03/2020 1:00,49748.56518,34,1463.193093,0.98,0.1,storm_9
10,"FC = 0.98, SFT = 0.1",16/03/2020 4:00,18/03/2020 22:00,80507.29215,67,1201.601375,0.98,0.1,storm_10
11,"FC = 0.98, SFT = 0.1",25/03/2020 12:00,28/03/2020 13:00,239231.8323,74,3232.862599,0.98,0.1,storm_11
12,"FC = 0.98, SFT = 0.1",30/03/2020 8:00,31/03/2020 2:00,17283.53098,19,909.6595252,0.98,0.1,storm_12
13,"FC = 0.98, SFT = 0.1",2/04/2020 17:00,8/04/2020 13:00,407198.927,141,2887.935653,0.98,0.1,storm_13
14,"FC = 0.98, SFT = 0.1",10/04/2020 11:00,12/04/2020 8:00,35681.22569,46,775.6788193,0.98,0.1,storm_14
15,"FC = 0.98, SFT = 0.1",29/04/2020 20:00,3/05/2020 6:00,192776.5457,83,2322.608984,0.98,0.1,storm_15
16,"FC = 0.98, SFT = 0.1",21/05/2020 3:00,22/05/2020 20:00,39815.71291,42,947.9931644,0.98,0.1,storm_16
17,"FC = 0.98, SFT = 0.1",14/06/2020 7:00,15/06/2020,23641.6714,18,1313.426189,0.98,0.1,storm_17
18,"FC = 0.98, SFT = 0.1",21/06/2020 6:00,22/06/2020 10:00,39130.13786,29,1349.315099,0.98,0.1,storm_18
19,"FC = 0.98, SFT = 0.1",11/07/2020 10:00,12/07/2020,8937.404824,15,595.8269883,0.98,0.1,storm_19
20,"FC = 0.98, SFT = 0.1",26/07/2020 13:00,3/08/2020 9:00,1102626.973,189,5834.005148,0.98,0.1,storm_20
21,"FC = 0.98, SFT = 0.1",7/08/2020 14:00,12/08/2020 22:00,752624.4077,129,5834.297734,0.98,0.1,storm_21
22,"FC = 0.98, SFT = 0.1",13/08/2020 2:00,14/08/2020 7:00,84080.37679,30,2802.679226,0.98,0.1,storm_22
23,"FC = 0.98, SFT = 0.1",14/08/2020 18:00,19/08/2020 4:00,244352.3786,107,2283.66709,0.98,0.1,storm_23
24,"FC = 0.98, SFT = 0.1",19/08/2020 19:00,21/08/2020,36178.52362,30,1205.950787,0.98,0.1,storm_24
25,"FC = 0.98, SFT = 0.1",22/08/2020 2:00,27/08/2020 6:00,112919.9842,125,903.359874,0.98,0.1,storm_25
26,"FC = 0.98, SFT = 0.1",27/08/2020 12:00,28/08/2020 3:00,6624.955446,16,414.0597154,0.98,0.1,storm_26
27,"FC = 0.98, SFT = 0.1",9/09/2020 11:00,10/09/2020 23:00,55251.46169,37,1493.282748,0.98,0.1,storm_27
