id,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0,Event_filter_1,Event_filter_2,Event_filter_10,Event_filter_20
0,"FC = 0.97, SFT = 0.8",2014-03-07 19:00:00,2014-03-08 09:00:00,95250.03833,15,6350.002555,0.97,0.8,storm_1,3.148,1,1,1,0,0
1,"FC = 0.97, SFT = 0.8",2014-03-15 00:00:00,2014-03-16 00:00:00,124191.1634,25,4967.646537,0.97,0.8,storm_2,2.16,1,1,1,0,0
2,"FC = 0.97, SFT = 0.8",2014-03-27 03:00:00,2014-03-29 23:00:00,457490.311,69,6630.294362,0.97,0.8,storm_3,4.334,1,1,1,0,0
3,"FC = 0.97, SFT = 0.8",2014-04-04 09:00:00,2014-04-06 13:00:00,602692.4922,53,11371.55646,0.97,0.8,storm_4,8.467,1,1,1,0,0
4,"FC = 0.97, SFT = 0.8",2014-08-17 11:00:00,2014-08-18 01:00:00,56895.90914,15,3793.060609,0.97,0.8,storm_5,1.609,1,1,0,0,0
5,"FC = 0.97, SFT = 0.8",2014-08-18 12:00:00,2014-08-19 19:00:00,158748.462,32,4960.889437,0.97,0.8,storm_6,2.848,1,1,1,0,0
6,"FC = 0.97, SFT = 0.8",2014-09-10 14:00:00,2014-09-11 10:00:00,79287.23787,21,3775.582756,0.97,0.8,storm_7,2.088,1,1,1,0,0
7,"FC = 0.97, SFT = 0.8",2014-12-06 21:00:00,2014-12-07 22:00:00,110704.7227,26,4257.873952,0.97,0.8,storm_8,2.331,1,1,1,0,0
8,"FC = 0.97, SFT = 0.8",2014-12-08 14:00:00,2014-12-09 09:00:00,113556.4481,20,5677.822403,0.97,0.8,storm_9,3.523,1,1,1,0,0
9,"FC = 0.97, SFT = 0.8",2014-12-26 03:00:00,2014-12-26 15:00:00,44721.03438,13,3440.079568,0.97,0.8,storm_10,1.633,1,1,0,0,0
10,"FC = 0.97, SFT = 0.8",2015-01-04 23:00:00,2015-01-06 00:00:00,285000.3734,26,10961.55282,0.97,0.8,storm_11,6.667,1,1,1,0,0
