"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.98, SFT = 0.8","2020-02-09 03:00:00","2020-02-10 20:00:00",582242.807795434,42,13862.9239951294,"0.98","0.8","storm_1"
"2","FC = 0.98, SFT = 0.8","2020-03-06","2020-03-07 06:00:00",134925.4987976,31,4352.43544508388,"0.98","0.8","storm_2"
"3","FC = 0.98, SFT = 0.8","2020-04-04 03:00:00","2020-04-16 14:00:00",158504.489791331,19,8342.34156796479,"0.98","0.8","storm_3"
"4","FC = 0.98, SFT = 0.8","2020-04-30 07:00:00","2020-05-02 12:00:00",414267.018056202,54,7671.61144548523,"0.98","0.8","storm_4"
"5","FC = 0.98, SFT = 0.8","2020-07-27 01:00:00","2020-07-31 07:00:00",1828301.45868332,103,17750.4995988672,"0.98","0.8","storm_5"
"6","FC = 0.98, SFT = 0.8","2020-08-07 21:00:00","2020-08-12 16:00:00",1615950.11030319,116,13930.6043991654,"0.98","0.8","storm_6"
"7","FC = 0.98, SFT = 0.8","2020-08-13 06:00:00","2020-08-14 11:00:00",205403.032464824,30,6846.76774882747,"0.98","0.8","storm_7"
"8","FC = 0.98, SFT = 0.8","2020-08-14 22:00:00","2020-08-17 21:00:00",803368.207833722,72,11157.8917754684,"0.98","0.8","storm_8"
"9","FC = 0.98, SFT = 0.8","2020-08-20 13:00:00","2020-08-21 11:00:00",92432.0207464044,23,4018.78351071324,"0.98","0.8","storm_9"
"10","FC = 0.98, SFT = 0.8","2020-08-22 14:00:00","2020-08-25 17:00:00",602582.710502355,76,7928.71987503099,"0.98","0.8","storm_10"
"11","FC = 0.98, SFT = 0.8","2020-09-09 22:00:00","2020-09-11 19:00:00",254872.581328174,46,5540.70828974292,"0.98","0.8","storm_11"
"12","FC = 0.98, SFT = 0.8","2020-09-20 16:00:00","2020-09-23 20:00:00",401676.313093868,77,5216.57549472556,"0.98","0.8","storm_12"
"13","FC = 0.98, SFT = 0.8","2020-10-25 03:00:00","2020-10-27 21:00:00",371560.523977563,67,5545.67946235168,"0.98","0.8","storm_13"
"14","FC = 0.98, SFT = 0.8","2020-10-31 17:00:00","2020-11-01 18:00:00",208243.894933364,26,8009.38057436015,"0.98","0.8","storm_14"
"15","FC = 0.98, SFT = 0.8","2020-11-05 19:00:00","2020-11-06 17:00:00",113435.258015789,23,4931.96773981689,"0.98","0.8","storm_15"
"16","FC = 0.98, SFT = 0.8","2020-11-22 06:00:00","2020-11-23 01:00:00",114364.942526827,20,5718.24712634135,"0.98","0.8","storm_16"
"17","FC = 0.98, SFT = 0.8","2020-11-23 20:00:00","2020-11-24 09:00:00",49226.66945726,14,3516.19067551857,"0.98","0.8","storm_17"
