id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount,base_flow,storm_flow,total_flow,norm_tot_q,norm_c,norm_ts
36642,7/03/2014 19:00,108.192,20.2,1.252,0,1,0.2966,0.9554,1.252,0.023,0.004,0
36643,7/03/2014 20:00,134.534,19.3,1.557,0,1,0.2987,1.2583,1.557,0.18,0,0.071
36644,7/03/2014 21:00,236.066,126.1,2.732,0,1,0.3019,2.4301,2.732,0.786,0.489,0.143
36645,7/03/2014 22:00,269.34,133.9,3.117,0,1,0.307,2.81,3.117,0.984,0.524,0.214
36646,7/03/2014 23:00,271.996,84.4,3.148,0,1,0.3143,2.8337,3.148,1,0.298,0.286
36647,8/03/2014 0:00,269.846,81.2,3.123,0,1,0.3232,2.7998,3.123,0.987,0.283,0.357
36648,8/03/2014 1:00,251.487,96,2.911,0,1,0.3326,2.5784,2.911,0.878,0.351,0.429
36649,8/03/2014 2:00,222.826,131.2,2.579,0,1,0.3416,2.2374,2.579,0.707,0.512,0.5
36650,8/03/2014 3:00,196.103,188.4,2.27,0,1,0.3502,1.9198,2.27,0.548,0.774,0.571
36651,8/03/2014 4:00,172.782,228.6,2,0,1,0.3584,1.6416,2,0.409,0.958,0.643
36652,8/03/2014 5:00,154.473,237.8,1.788,0,1,0.3661,1.4219,1.788,0.299,1,0.714
36653,8/03/2014 6:00,138.664,233.8,1.605,0,1,0.3732,1.2318,1.605,0.205,0.982,0.786
36654,8/03/2014 7:00,124.669,196,1.443,0,1,0.3736,1.0694,1.443,0.122,0.809,0.857
36655,8/03/2014 8:00,113.825,195,1.317,0,1,0.3733,0.9437,1.317,0.057,0.804,0.929
36656,8/03/2014 9:00,104.271,160.8,1.207,0,1,0.3728,0.8342,1.207,0,0.648,1
36815,15/03/2014 0:00,139.214,42.1,1.611,1,2,0.3096,1.3014,1.611,0.28,1,0
36816,15/03/2014 1:00,173.35,37.9,2.006,1,2,0.3119,1.6941,2.006,0.798,0.872,0.042
36817,15/03/2014 2:00,184.441,28.9,2.135,1,2,0.3155,1.8195,2.135,0.967,0.598,0.083
36818,15/03/2014 3:00,186.624,30,2.16,1,2,0.3205,1.8395,2.16,1,0.631,0.125
36819,15/03/2014 4:00,184.726,32.4,2.138,1,2,0.3269,1.8111,2.138,0.971,0.704,0.167
36820,15/03/2014 5:00,181.593,29.6,2.102,1,2,0.3345,1.7675,2.102,0.924,0.619,0.208
