id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
1509,2014-02-19,19.237,3.0,0.223,0,1
1510,2014-02-20,25.141,4.9,0.291,0,1
1525,2014-03-07,28.002,2.7,0.324,1,2
1526,2014-03-08,78.111,23.3,0.904,1,2
1532,2014-03-14,26.863,4.3,0.311,2,3
1533,2014-03-15,38.073,5.3,0.441,2,3
1534,2014-03-16,159.926,18.1,1.851,2,3
1534,2014-03-16,159.926,18.1,1.851,3,4
1535,2014-03-17,103.589,9.1,1.199,3,4
1542,2014-03-24,41.812,3.4,0.484,4,5
1543,2014-03-25,40.204,3.7,0.465,4,5
1544,2014-03-26,54.411,3.6,0.63,5,6
1545,2014-03-27,53.183,4.1,0.616,5,6
1546,2014-03-28,238.011,16.6,2.755,5,6
1547,2014-03-29,236.153,11.8,2.733,5,6
1548,2014-03-30,281.121,10.3,3.254,5,6
1549,2014-03-31,156.477,5.1,1.811,5,6
1553,2014-04-04,66.533,3.1,0.77,6,7
1554,2014-04-05,271.678,24.8,3.144,6,7
1555,2014-04-06,478.021,13.6,5.533,6,7
1556,2014-04-07,225.824,5.8,2.614,6,7
1560,2014-04-11,87.228,3.2,1.01,7,8
1561,2014-04-12,107.052,3.7,1.239,7,8
1561,2014-04-12,107.052,3.7,1.239,8,9
1562,2014-04-13,122.901,5.7,1.422,8,9
1606,2014-05-27,36.903,1.9,0.427,9,10
1607,2014-05-28,67.373,3.9,0.78,9,10
1611,2014-06-01,28.123,1.7,0.325,10,11
1612,2014-06-02,36.995,3.0,0.428,10,11
1632,2014-06-22,29.384,1.7,0.34,11,12
1633,2014-06-23,45.007,2.3,0.521,11,12
1633,2014-06-23,45.007,2.3,0.521,12,13
1634,2014-06-24,62.409,2.6,0.722,12,13
1634,2014-06-24,62.409,2.6,0.722,13,14
1635,2014-06-25,69.471,2.7,0.804,13,14
1638,2014-06-28,27.403,1.7,0.317,14,15
1639,2014-06-29,54.711,2.3,0.633,14,15
1665,2014-07-25,35.455,,0.41,15,16
1666,2014-07-26,54.08,,0.626,15,16
1666,2014-07-26,54.08,,0.626,16,17
1667,2014-07-27,42.743,5.7,0.495,16,17
1671,2014-07-31,37.564,2.6,0.435,17,18
1672,2014-08-01,67.51,3.6,0.781,17,18
1688,2014-08-17,23.83,1.7,0.276,18,19
1689,2014-08-18,89.033,5.6,1.03,18,19
1690,2014-08-19,146.545,11.3,1.696,18,19
1691,2014-08-20,164.727,7.3,1.907,18,19
1698,2014-08-27,50.964,1.7,0.59,19,20
1699,2014-08-28,107.886,6.0,1.249,19,20
1712,2014-09-10,62.054,2.3,0.718,20,21
1713,2014-09-11,112.333,8.5,1.3,20,21
1714,2014-09-12,121.426,6.4,1.405,20,21
1732,2014-09-30,43.013,2.6,0.498,21,22
1733,2014-10-01,71.63,4.6,0.829,21,22
