mean HI over event,event FI,event ID,period,
0.128695081,-0.04,21,pre-fire,
0.34600946,-0.762,22,pre-fire,
0.14951826,0.203,23,pre-fire,
0.195305172,0.161,24,pre-fire,
0.145693351,0.028,25,pre-fire,
0.270339344,0.816,26,pre-fire,
0.309983802,0.045,27,pre-fire,
0.22835929,0.116,28,pre-fire,
0.210528924,0.278,29,pre-fire,
-0.008231217,0.177,30,pre-fire,
0.030702855,0.4,31,pre-fire,
0.284319037,0.334,32,pre-fire,
0.279997807,0.09,33,pre-fire,
0.29218709,0.234,34,pre-fire,
0.458025192,0.824,35,pre-fire,
0.104828187,0.578,36,pre-fire,
-0.371512431,0.454,37,pre-fire,
0.343956862,0.394,38,pre-fire,
0.117996016,0.624,39,pre-fire,
0.719157375,0.341,40,pre-fire,
-0.061579832,-0.667,41,pre-fire,
-0.041539034,0.639,42,pre-fire,
0.124617215,-0.11,43,pre-fire,
0.106034824,-0.9,44,pre-fire,
0.465922865,0.804,45,pre-fire,
0.145127119,0.116,46,pre-fire,
0.152844661,0.055,47,pre-fire,
0.029454377,0.147,48,pre-fire,
-0.085108169,-0.147,49,pre-fire,
0.055810621,0.087,50,pre-fire,
0.032043896,-0.5,51,pre-fire,postfire
0.263460746,0.857,52,post-fire,
-0.04027076,-0.083,53,post-fire,
0.512531044,0.584,54,post-fire,
0.378053062,0.295,55,post-fire,
0.048106103,-0.672,56,post-fire,
0.582226326,0.796,57,post-fire,
0.26508656,0.398,58,post-fire,
0.107020633,0.209,59,post-fire,
0.133819918,0.186,60,post-fire,
-0.03123223,0.222,61,post-fire,
-0.006358142,-0.365,62,post-fire,
0.304528339,0.699,63,post-fire,
0.116250738,-0.123,64,post-fire,
-0.310922981,0.147,65,post-fire,
0.289723667,0.601,66,post-fire,
0.732223856,0.833,67,post-fire,
0.263229699,0.42,68,post-fire,
-0.045984655,0.408,69,post-fire,
0.047427361,0.545,70,post-fire,
0.27271628,0.428,71,post-fire,
